id,transaction_id,utr_number,amount,payment_type,payment_date,updated_at,student_id,subscription_id
1,"",FR07 2093 8973 42ZC X9P2 IXPR G27,229.00,OnlineBanking,2023-02-26 00:00:00+05:30,2022-06-19 00:00:00+05:30,328,3
2,"",HU12 5911 3626 7691 7899 8575 2678,832.00,CreditCard,2022-09-29 00:00:00+05:30,2022-12-16 00:00:00+05:30,742,5
3,"",RO16 XVME JOSJ 39NB QDIX UGV0,56.00,CreditCard,2022-05-10 00:00:00+05:30,2022-11-16 00:00:00+05:30,216,1
4,"",FR17 6628 6421 00UB 4IFF CZAW U45,14.00,OnlineBanking,2022-04-27 00:00:00+05:30,2022-07-26 00:00:00+05:30,897,4
5,"",DE89 8538 4027 9242 7997 94,3.00,OnlineBanking,2022-03-19 00:00:00+05:30,2022-08-26 00:00:00+05:30,208,5
6,"",RS33 7408 5925 7773 1558 84,632.00,OnlineBanking,2022-07-25 00:00:00+05:30,2022-03-14 00:00:00+05:30,875,3
7,"",FO32 8519 3870 6844 52,25.00,DebitCard,2022-07-04 00:00:00+05:30,2022-08-21 00:00:00+05:30,418,4
8,"",GE73 NP48 0582 8651 8839 42,122.00,OnlineBanking,2022-05-28 00:00:00+05:30,2023-01-05 00:00:00+05:30,110,4
9,"",AZ42 SMYG 4HDM ENCF GXBO D8YN MVXU,979.00,DebitCard,2022-06-06 00:00:00+05:30,2022-03-13 00:00:00+05:30,631,4
10,"",HU40 0863 3196 3962 5558 6081 3559,852.00,UPI,2022-07-11 00:00:00+05:30,2023-01-17 00:00:00+05:30,582,2
11,"",FR07 6582 1867 55NW D23D 9OH7 O48,303.00,DebitCard,2022-05-06 00:00:00+05:30,2022-05-27 00:00:00+05:30,12,4
12,"",CZ40 1458 2101 7201 0923 6837,359.00,DebitCard,2022-06-21 00:00:00+05:30,2022-11-06 00:00:00+05:30,796,1
13,"",FR93 3768 2089 693I NRYI XJNU P71,570.00,OnlineBanking,2022-12-31 00:00:00+05:30,2022-05-27 00:00:00+05:30,905,3
14,"",HU58 7200 7498 1425 9137 7152 2546,863.00,OnlineBanking,2022-09-08 00:00:00+05:30,2022-03-22 00:00:00+05:30,598,5
15,"",FR68 9773 4067 35TN EZ1W SFRA A04,559.00,DebitCard,2022-11-09 00:00:00+05:30,2022-09-19 00:00:00+05:30,990,5
16,"",BR42 7132 9178 7792 3185 0749 196C 5,655.00,UPI,2022-04-25 00:00:00+05:30,2022-06-05 00:00:00+05:30,480,2
17,"",AZ77 EHYM 7C7K TKRK AC3F EBSO J2UA,823.00,DebitCard,2022-07-12 00:00:00+05:30,2022-03-12 00:00:00+05:30,403,4
18,"",FR15 3298 3368 70DH ZH3D FTTQ A32,253.00,DebitCard,2022-11-01 00:00:00+05:30,2022-06-30 00:00:00+05:30,944,5
19,"",SM89 O368 5886 835P VXPO BEIQ PCO,102.00,DebitCard,2022-03-17 00:00:00+05:30,2022-09-13 00:00:00+05:30,123,5
20,"",IT43 V961 9193 041J SN3Z VOIL DXE,210.00,UPI,2022-08-13 00:00:00+05:30,2022-09-30 00:00:00+05:30,214,4
21,"",AE72 2149 2697 0884 9532 649,942.00,DebitCard,2022-04-11 00:00:00+05:30,2022-09-15 00:00:00+05:30,347,4
22,"",MD57 ZSYG DPR2 BBG8 QZ7O JKQS,756.00,OnlineBanking,2022-07-03 00:00:00+05:30,2022-04-04 00:00:00+05:30,822,4
23,"",MU77 CDCU 2483 0525 7298 0752 826F JE,469.00,OnlineBanking,2022-11-27 00:00:00+05:30,2022-06-12 00:00:00+05:30,20,1
24,"",FI94 1846 3079 9841 73,665.00,DebitCard,2022-05-02 00:00:00+05:30,2022-11-12 00:00:00+05:30,739,2
25,"",IT28 D126 6387 0401 PSA9 0KUV 3FA,422.00,OnlineBanking,2022-04-21 00:00:00+05:30,2022-09-14 00:00:00+05:30,280,1
26,"",FR81 1040 3147 69EO QCFW FPUG 360,874.00,UPI,2023-01-13 00:00:00+05:30,2022-12-25 00:00:00+05:30,622,5
27,"",DK18 9447 0463 5610 41,936.00,OnlineBanking,2022-09-25 00:00:00+05:30,2022-08-15 00:00:00+05:30,905,5
28,"",BA57 1281 7795 4903 9721,281.00,UPI,2022-07-25 00:00:00+05:30,2022-11-17 00:00:00+05:30,596,2
29,"",MD61 BESP PMPH 0JVA HQMA VK8G,655.00,OnlineBanking,2022-05-28 00:00:00+05:30,2022-12-20 00:00:00+05:30,858,2
30,"",ES06 8070 6253 2190 3108 8500,391.00,OnlineBanking,2022-12-27 00:00:00+05:30,2022-12-24 00:00:00+05:30,506,4
31,"",FR35 2934 2908 10TA MZEV 2BGC R95,689.00,OnlineBanking,2022-09-10 00:00:00+05:30,2022-08-21 00:00:00+05:30,360,4
32,"",BR50 3392 0528 6884 8559 8423 459H W,19.00,OnlineBanking,2022-09-09 00:00:00+05:30,2022-08-28 00:00:00+05:30,59,4
33,"",TR03 2266 2CSU WKEL RH38 2YKK Z9,761.00,CreditCard,2022-03-20 00:00:00+05:30,2022-05-31 00:00:00+05:30,116,4
34,"",GI50 DGCF QFNB NOXQ U7YI 6TS,869.00,OnlineBanking,2022-04-10 00:00:00+05:30,2022-08-07 00:00:00+05:30,147,5
