id,address,city,state,phone_number,is_subscribed,created_at,updated_at,user_id
1,1784 Gulseth Terrace,Birmingham,Alabama,2054258142,t,2023-02-25 00:00:00+05:30,2022-09-20 00:00:00+05:30,1
2,6236 Dovetail Circle,Birmingham,Alabama,2052101208,f,2022-10-14 00:00:00+05:30,2022-10-17 00:00:00+05:30,2
3,0 Grover Court,Birmingham,Alabama,2052238958,f,2022-12-05 00:00:00+05:30,2023-03-07 00:00:00+05:30,3
4,7737 Eagle Crest Drive,Mobile,Alabama,2516317176,t,2022-10-12 00:00:00+05:30,2022-11-10 00:00:00+05:30,4
5,7668 Toban Parkway,Birmingham,Alabama,2056777586,t,2022-04-16 00:00:00+05:30,2022-09-11 00:00:00+05:30,5
6,9 Graedel Place,Birmingham,Alabama,2056875400,f,2022-07-24 00:00:00+05:30,2022-05-23 00:00:00+05:30,6
7,18543 Kropf Plaza,Tuscaloosa,Alabama,2059540016,t,2022-08-26 00:00:00+05:30,2023-01-07 00:00:00+05:30,7
8,307 Dwight Drive,Birmingham,Alabama,2058022908,t,2022-12-21 00:00:00+05:30,2023-03-05 00:00:00+05:30,8
9,2279 Ohio Lane,Huntsville,Alabama,2568713417,f,2022-08-26 00:00:00+05:30,2022-06-03 00:00:00+05:30,9
10,531 Tennessee Court,Birmingham,Alabama,2051851320,t,2023-03-08 00:00:00+05:30,2022-04-16 00:00:00+05:30,10
11,766 Namekagon Trail,Huntsville,Alabama,2568144242,t,2022-11-22 00:00:00+05:30,2022-07-03 00:00:00+05:30,11
12,209 Stuart Avenue,Mobile,Alabama,2517656762,t,2022-03-16 00:00:00+05:30,2023-02-26 00:00:00+05:30,12
13,783 Kingsford Junction,Huntsville,Alabama,2566232135,f,2022-04-09 00:00:00+05:30,2022-12-12 00:00:00+05:30,13
14,690 Carey Avenue,Birmingham,Alabama,2051601189,f,2022-09-07 00:00:00+05:30,2022-07-11 00:00:00+05:30,14
15,531 Buell Way,Huntsville,Alabama,2562442470,t,2022-07-16 00:00:00+05:30,2022-06-05 00:00:00+05:30,15
16,45398 Shelley Park,Montgomery,Alabama,3341783856,f,2022-11-12 00:00:00+05:30,2022-08-28 00:00:00+05:30,16
17,7 Montana Point,Montgomery,Alabama,3343221283,t,2022-07-20 00:00:00+05:30,2022-09-26 00:00:00+05:30,17
18,82 8th Place,Mobile,Alabama,2518668319,f,2022-04-19 00:00:00+05:30,2023-01-30 00:00:00+05:30,18
19,0 Moland Lane,Tuscaloosa,Alabama,2056416745,t,2023-03-02 00:00:00+05:30,2022-12-11 00:00:00+05:30,19
20,4483 Coleman Road,Huntsville,Alabama,2568880917,t,2022-11-15 00:00:00+05:30,2022-06-08 00:00:00+05:30,20
21,2 Prairie Rose Crossing,Birmingham,Alabama,2051107332,t,2022-12-02 00:00:00+05:30,2022-03-23 00:00:00+05:30,21
22,01 Kim Plaza,Montgomery,Alabama,3348654005,f,2022-05-15 00:00:00+05:30,2022-06-29 00:00:00+05:30,22
23,78234 Hollow Ridge Parkway,Birmingham,Alabama,2058135163,f,2022-11-29 00:00:00+05:30,2022-07-20 00:00:00+05:30,23
24,24308 Continental Plaza,Montgomery,Alabama,3343053479,f,2022-08-25 00:00:00+05:30,2022-10-27 00:00:00+05:30,24
25,9235 School Court,Mobile,Alabama,2519641109,f,2022-06-20 00:00:00+05:30,2022-07-07 00:00:00+05:30,25
26,8498 Declaration Hill,Birmingham,Alabama,2059262354,f,2022-06-13 00:00:00+05:30,2023-01-14 00:00:00+05:30,26
27,72104 5th Road,Mobile,Alabama,2513305445,t,2022-03-19 00:00:00+05:30,2022-05-18 00:00:00+05:30,27
28,07411 Sullivan Junction,Montgomery,Alabama,3342377334,t,2022-04-14 00:00:00+05:30,2023-02-26 00:00:00+05:30,28
29,60 Westridge Trail,Huntsville,Alabama,2563168684,f,2022-09-26 00:00:00+05:30,2022-12-29 00:00:00+05:30,29
30,49 Westport Circle,Huntsville,Alabama,2565961916,f,2022-09-01 00:00:00+05:30,2022-12-01 00:00:00+05:30,30
31,17 Mcbride Pass,Montgomery,Alabama,3345084857,t,2022-09-06 00:00:00+05:30,2023-03-03 00:00:00+05:30,31
32,841 Blaine Point,Montgomery,Alabama,3342930643,t,2023-01-26 00:00:00+05:30,2022-06-21 00:00:00+05:30,32
33,584 4th Lane,Huntsville,Alabama,2566116182,t,2022-11-06 00:00:00+05:30,2022-12-18 00:00:00+05:30,33
34,4242 Packers Crossing,Huntsville,Alabama,2561441387,t,2022-06-07 00:00:00+05:30,2022-05-12 00:00:00+05:30,34
35,38761 Algoma Park,Birmingham,Alabama,2054558574,t,2023-01-16 00:00:00+05:30,2022-12-12 00:00:00+05:30,35
36,443 Superior Lane,Mobile,Alabama,2519126123,f,2022-03-31 00:00:00+05:30,2022-12-06 00:00:00+05:30,36
37,7 Sauthoff Parkway,Birmingham,Alabama,2059670605,f,2023-03-01 00:00:00+05:30,2023-02-13 00:00:00+05:30,37
38,37190 Parkside Place,Montgomery,Alabama,3346701802,t,2023-03-06 00:00:00+05:30,2022-03-10 00:00:00+05:30,38
39,236 Westerfield Place,Birmingham,Alabama,3344301028,f,2022-05-20 00:00:00+05:30,2022-07-02 00:00:00+05:30,39
40,4271 Coolidge Place,Huntsville,Alabama,2569319216,f,2022-08-16 00:00:00+05:30,2023-03-03 00:00:00+05:30,40
41,1 Main Hill,Mobile,Alabama,2512728069,t,2022-05-07 00:00:00+05:30,2022-04-02 00:00:00+05:30,41
42,3 Ridgeway Park,Mobile,Alabama,2515503869,t,2022-08-22 00:00:00+05:30,2022-04-17 00:00:00+05:30,42
43,54806 Brickson Park Court,Tuscaloosa,Alabama,2052371055,t,2022-05-13 00:00:00+05:30,2023-02-20 00:00:00+05:30,43
44,6050 Blue Bill Park Road,Montgomery,Alabama,3343042282,t,2022-11-16 00:00:00+05:30,2022-12-29 00:00:00+05:30,44
